,あ,Ah
,ああ,like that
,あいさつ・する,to greet
,あかちゃん,infant
,アクセサリー,accessory
,あげる,to give
,アジア,Asia
,アナウンサー,announcer
,アフリカ,Africa
,アメリカ,America
,アルコール,alcohol
,アルバイト,part-time job
,あんな,such
,いじめる,to tease
,いただく,(humble) to receive
,いっぱい,full
,いらっしゃる,"(respectful) to be,to come or to go"
,うかがう,to visit
,うそ,a lie
,うち,within
,うまい,delicious
,うれしい,glad
,うん,(informal) yes
,エスカレーター,escalator
,おいでになる,(respectful) to be
,オートバイ,motorcycle
,おかげ,owing to
,おかしい,strange or funny
,おっしゃる,(respectful) to say
,おつり,"change from purchase, balance"
,おもちゃ,toy
,カーテン,curtain
,ガス,petrol
,ガソリン,petrol
,ガソリンスタンド,petrol station
,かっこう,appearance
,かまう,to mind
,ガラス,a glass pane
,きっと,surely
,くださる,(respectful) to give
,くれる,to give
,ケーキ,cake
,けが・する,to injure
,けれど/けれども,however
,けんか・する,to quarrel
,こう,this way
,ごちそう,a feast
,こと,"thing,matter"
,このあいだ,"the other day,recently"
,このごろ,"these days,nowadays"
,ごみ,rubbish
,ごらんになる,(respectful) to see
,これから,after this
,コンサート,concert
,コンピュータ/コンピューター,computer
,さっき,some time ago
,サラダ,salad
,サンダル,sandal
,サンドイッチ,sandwich
,しかる,a particular
,しっかり,"firmly,steadily"
,しばらく,little while
,じゃま,"hindrance,intrusion"
,ジャム,jam
,ずいぶん,extremely
,スーツ,suit
,スーツケース,suitcase
,すく,to become empty
,スクリーン,screen
,すっかり,completely
,すっと,"straight,all of a sudden"
,ステーキ,steak
,ステレオ,stereo
,すばらしい,wonderful
,すり,pickpocket
,すると,then
,ぜひ,without fail
,ぜんぜん,not entirely (used in a negative sentence)
,そう,really
,ソフト,soft
,それで,because of that
,それに,moreover
,それほど,to that extent
,そろそろ,"gradually,soon"
,そんな,that sort of
,そんなに,"so much,like that"
,たいてい,usually
,タイプ,"type,style"
,だから,"so,therefore"
,たまに,occasionally
,だめ,no good
,チェック・する,to check
,ちっとも,not at all (used with a negative verb)
,ちゃん,suffix for familiar female person
,つき,moon
,つもり,intention
,テキスト,"text,text book"
,できるだけ,as much as possible
,テニス,tennis
,とうとう,"finally, after all"
,とこや,barber
,どんどん,more and more
,なさる,(respectful) to do
,なるべく,as much as possible
,なるほど,now I understand
,におい,a smell
,ぬれる,to get wet
,ねだん,price
,ねっしん,enthusiasm
,のど,throat
,パート,part time
,はず,it should be so
,パソコン,personal computer
,はっきり,clearly
,ハンドバッグ,handbag　
,ピアノ,piano
,ひげ,beard
,びっくり・する,to be surprised
,ひどい,awful
,ビル,building or bill
,ファックス,fax
,ぶどう,grapes
,プレゼント,present
,ベル,bell
,ほど,extent
,ほとんど,mostly
,ほめる,to praise
,まじめ,serious
,まず,first of all
,または,"or,otherwise"
,もうすぐ,soon
,もし,if
,もちろん,of course
,もっとも,extremely
,もらう,to receive
,やっと,at last
,やはり/やっぱり,"as I thought,absolutely"
,よろしい,"(respectful) OK,all right"
,レジ,register
,レポート/リポート,report
,ワープロ,word processor
